fecha,abrir,maximo,minimo,cerrar,cierre ajustado,volumen
26 jul 2024,6577181.0,6820760.0,6574377.0,6791206.0,6791206.0,30488630457.0
25 jul 2024,6537588.0,6611242.0,6347347.0,6577723.0,6577723.0,38315761670.0
24 jul 2024,6592786.0,6711398.0,6514700.0,6537213.0,6537213.0,27470942309.0
23 jul 2024,6758480.0,6777902.0,6548446.0,6592767.0,6592767.0,35605668666.0
22 jul 2024,6815298.0,6848006.0,6661130.0,6758525.0,6758525.0,42649109453.0
21 jul 2024,6716491.0,6837291.0,6584230.0,6815452.0,6815452.0,26652190004.0
20 jul 2024,6670992.0,6761073.0,6629962.0,6716365.0,6716365.0,19029581250.0
19 jul 2024,6397232.0,6744264.0,6332934.0,6671016.0,6671016.0,37003855410.0
18 jul 2024,6410474.0,6510466.0,6324616.0,6397407.0,6397407.0,27239305337.0
17 jul 2024,6509183.0,6606673.0,6389609.0,6411879.0,6411879.0,32525071311.0
16 jul 2024,6478442.0,6535434.0,6248797.0,6509715.0,6509715.0,41617346768.0
15 jul 2024,6081546.0,6487015.0,6070493.0,6487015.0,6487015.0,38094526099.0
14 jul 2024,5922525.0,6132953.0,5922525.0,6078779.0,6078779.0,22223416061.0
13 jul 2024,5790874.0,5978708.0,5779644.0,5923195.0,5923195.0,17080061806.0
12 jul 2024,5734120.0,5853255.0,5659018.0,5789946.0,5789946.0,25604805221.0
11 jul 2024,5772989.0,5929943.0,5712038.0,5734491.0,5734491.0,28707803842.0
10 jul 2024,5803388.0,5935943.0,5717841.0,5774250.0,5774250.0,26175260526.0
9 jul 2024,5670460.0,5823920.0,5631688.0,5800923.0,5800923.0,27849512607.0
8 jul 2024,5584957.0,5813134.0,5432102.0,5670510.0,5670510.0,39766159899.0
7 jul 2024,5823943.0,5837112.0,5579332.0,5584911.0,5584911.0,20553359505.0
6 jul 2024,5665907.0,5847255.0,5603896.0,5830354.0,5830354.0,20610320577.0
5 jul 2024,5702281.0,5749715.0,5371738.0,5666238.0,5666238.0,55417544033.0
4 jul 2024,6014714.0,6039968.0,5677780.0,5697770.0,5697770.0,41149609230.0
3 jul 2024,6203433.0,6218770.0,5941939.0,6017392.0,6017392.0,29756701685.0
2 jul 2024,6284441.0,6320336.0,6175275.0,6202902.0,6202902.0,20151616992.0
1 jul 2024,6267361.0,6377723.0,6249551.0,6285198.0,6285198.0,25468379421.0
30 jun 2024,6088845.0,6289283.0,6063295.0,6267829.0,6267829.0,17333226409.0
29 jun 2024,6031988.0,6109762.0,6030096.0,6088738.0,6088738.0,12652903396.0
28 jun 2024,6161280.0,6212610.0,5998540.0,6032014.0,6032014.0,24952866877.0
27 jun 2024,6081123.0,6229386.0,6058533.0,6160480.0,6160480.0,21231745045.0
26 jun 2024,6178968.0,6243414.0,6069519.0,6081128.0,6081128.0,22506003064.0
25 jun 2024,6026628.0,6225826.0,6023975.0,6180464.0,6180464.0,29201215431.0
24 jun 2024,6317335.0,6329253.0,5860170.0,6027741.0,6027741.0,43152133651.0
23 jun 2024,6424896.0,6449170.0,6318080.0,6318080.0,6318080.0,11170471802.0
22 jun 2024,6411386.0,6447547.0,6392976.0,6425258.0,6425258.0,9858198793.0
21 jun 2024,6483799.0,6500755.0,6337889.0,6409620.0,6409620.0,26188171739.0
20 jun 2024,6496030.0,6643896.0,6454785.0,6482866.0,6482866.0,25641109124.0
19 jun 2024,6514666.0,6569535.0,6469330.0,6496030.0,6496030.0,21103423504.0
18 jun 2024,6649098.0,6655670.0,6406696.0,6514075.0,6514075.0,39481285950.0
17 jun 2024,6663652.0,6718832.0,6509496.0,6649030.0,6649030.0,30006354476.0
16 jun 2024,6618936.0,6689484.0,6601825.0,6663905.0,6663905.0,13281140541.0
15 jun 2024,6600674.0,6640219.0,6587177.0,6619100.0,6619100.0,14121265576.0
14 jun 2024,6674757.0,6729465.0,6505689.0,6601109.0,6601109.0,27403884779.0
13 jun 2024,6824310.0,6836578.0,6630456.0,6675640.0,6675640.0,28955204146.0
12 jun 2024,6732138.0,6997789.0,6690245.0,6824119.0,6824119.0,34497940694.0
11 jun 2024,6950808.0,6954941.0,6612360.0,6733203.0,6733203.0,37116136345.0
10 jun 2024,6964431.0,7014607.0,6923242.0,6951228.0,6951228.0,20597699541.0
9 jun 2024,6929749.0,6981752.0,6916084.0,6964799.0,6964799.0,13534028500.0
8 jun 2024,6932418.0,6953332.0,6921074.0,6930577.0,6930577.0,14262185861.0
7 jun 2024,7075919.0,7190785.0,6850726.0,6934259.0,6934259.0,36188381096.0
6 jun 2024,7108284.0,7162573.0,7011913.0,7075716.0,7075716.0,25223152007.0
5 jun 2024,7056835.0,7173541.0,7039071.0,7108282.0,7108282.0,32810771409.0
4 jun 2024,6880457.0,7104741.0,6856464.0,7056777.0,7056777.0,33149696545.0
3 jun 2024,6775390.0,7023082.0,6758984.0,6880478.0,6880478.0,32401285324.0
2 jun 2024,6771027.0,6840916.0,6731552.0,6775160.0,6775160.0,17110588415.0
1 jun 2024,6748961.0,6783977.0,6738620.0,6770694.0,6770694.0,11641495604.0
31 may 2024,6836252.0,6899956.0,6663342.0,6749141.0,6749141.0,27387283769.0
30 may 2024,6757609.0,6950054.0,6711808.0,6836499.0,6836499.0,29509712534.0
29 may 2024,6829635.0,6885246.0,6710149.0,6757809.0,6757809.0,26707072906.0
28 may 2024,6939220.0,6951464.0,6722716.0,6829622.0,6829622.0,32722265965.0
27 may 2024,6851218.0,7059788.0,6823250.0,6939455.0,6939455.0,25870990717.0
26 may 2024,6926429.0,6950623.0,6818389.0,6851809.0,6851809.0,15628433737.0
25 may 2024,6852692.0,6957932.0,6851582.0,6926595.0,6926595.0,15473071741.0
24 may 2024,6792813.0,6922030.0,6662267.0,6852610.0,6852610.0,29197308153.0
23 may 2024,6912130.0,7004127.0,6635695.0,6792956.0,6792956.0,41895680979.0
22 may 2024,7013532.0,7062370.0,6897770.0,6912234.0,6912234.0,32802561717.0
21 may 2024,7144306.0,7194646.0,6919113.0,7013653.0,7013653.0,46932005990.0
20 may 2024,6627874.0,7148356.0,6608617.0,7144820.0,7144820.0,43850655717.0
19 may 2024,6693793.0,6769430.0,6593718.0,6627837.0,6627837.0,19249094538.0
18 may 2024,6706621.0,6738733.0,6666350.0,6694080.0,6694080.0,16712277406.0
17 may 2024,6523130.0,6745946.0,6511932.0,6705188.0,6705188.0,28031279310.0
16 may 2024,6625611.0,6671243.0,6461305.0,6523158.0,6523158.0,31573077994.0
15 may 2024,6155399.0,6645445.0,6133041.0,6626749.0,6626749.0,39815167074.0
14 may 2024,6290077.0,6309213.0,6112377.0,6155279.0,6155279.0,28186271527.0
13 may 2024,6145122.0,6342266.0,6076984.0,6290145.0,6290145.0,27889181179.0
12 may 2024,6079350.0,6181816.0,6063260.0,6144839.0,6144839.0,13800459405.0
11 may 2024,6079336.0,6145115.0,6049263.0,6079371.0,6079371.0,13842272968.0
